FareGroup_0-64,FareGroup_64-128,FareGroup_128-192,FareGroup_192-256,FareGroup_256-320,FareGroup_320-384,FareGroup_384-448,FareGroup_448-513,AgeGroup_0-20,AgeGroup_20-40,AgeGroup_40-60,AgeGroup_60-81,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,SibSpGroup_0-1,SibSpGroup_1-3,SibSpGroup_3-5,SibSpGroup_5-7,SibSpGroup_7+,ParchGroup_0-1,ParchGroup_1-3,ParchGroup_3-5,ParchGroup_5+,Male,Female
1,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
0,X,,,,,,,X,,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,,X,,,,X,,X,,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,,,X,,,,X,,,,X
1,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
0,,X,,,,,,,,X,,,,X,X,,,,X,,,,,X,,,X,
0,,,X,,,,,,,X,,X,,,X,,,,X,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,X,,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,X,,,,,X,X,,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
1,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
0,X,,,,,,,X,,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
0,X,,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,
0,X,,,,,,,,,,X,X,,,X,,,,X,,,,X,,,,X,
1,,,,,,,,X,,,,X,,,,,X,X,,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,,X
0,X,,,,,,,,,X,,X,,,X,,,,X,,,,X,,,,,X
1,,,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,,X
1,,,,,,,,,,X,,,,X,,X,,X,,,,,,X,,,,X
0,,X,,,,,,,,X,,X,,,X,,,,X,,,,,X,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,,X,,,,,X,,,X,
1,,,,,,,,,,X,,,,X,X,,,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X
1,,,,,,,,,,X,,,,X,,X,,,X,,,,,X,,,X,
1,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,,X
1,,,,,,,,,X,,,X,,,,,X,,X,,,,X,,,,,X
1,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,,X
1,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,
0,,X,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,X,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,,X,,,,X
1,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,,X
1,,,,,,,,,X,,,X,,,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X
1,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,
0,X,,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
0,,X,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,X,,,,X,,X,,,,X,,,,,X
1,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,X,,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X
1,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
1,,,,,,,,X,,,,X,,,,,X,,X,,,,,X,,,,X
1,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
0,X,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
1,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,
0,X,,,,,,,,,X,,,,X,X,,,,X,,,,,X,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,X,,,,X,,,,X,,,X,,,,,X,,,,X
1,,,,,,,,,X,,,X,,,,,X,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,X,,X,,,,,X,,,,X,
1,,,,,,,,,,X,,,,X,,X,,X,,,,,,X,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
1,,,,,,,,,,,X,,,X,X,,,,X,,,,,X,,,,X
0,,X,,,,,,,X,,,,,X,X,,,,X,,,,,X,,,X,
1,,,,,,,,X,,,,,,X,,,X,X,,,,,,X,,,X,
0,X,,,,,,,,,X,,,,X,X,,,,X,,,,,X,,,X,
1,,,,,,,,,,X,,,,X,,,X,,X,,,,X,,,,,X
1,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
0,,X,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,,X
1,,,,,,,,X,,,,,X,,,,X,X,,,,,X,,,,,X
0,,X,,,,,,,,X,,X,,,X,,,,X,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,
0,,,X,,,,,,X,,,,,X,X,,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,,X
0,X,,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,,X,,,,X,,X,,X,,,,,,X,,,,X
1,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,
1,,,,,,,,X,,,,X,,,,,X,,X,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,,X,X,,,,,,X,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
0,X,,,,,,,,X,,,,,X,,,X,,X,,,,,,,X,X,
0,,,,,,,X,,,X,,X,,,X,,,X,,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,,X,,X,,,,,X,,,X,
1,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X
1,,,,,,,,,,X,,X,,,X,,,X,,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
0,X,,,,,,,X,,,,,,X,,X,,X,,,,,X,,,,X,
0,X,,,,,,,,,X,,,,X,,X,,,X,,,,,X,,,X,
1,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,,X
1,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,,X,,,,X,X,,,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,,X
0,X,,,,,,,X,,,,,,X,,,X,,,,,X,,X,,,X,
1,,,,,,,,,X,,,X,,,,X,,,X,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,,X
0,X,,,,,,,,X,,,,,X,,,X,,X,,,,,,,X,,X
1,,,,,,,,,X,,,X,,,,,X,,X,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X
1,,,,,,,,,,X,,X,,,X,,,X,,,,,,X,,,,X
1,,,,,,,,,X,,,X,,,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,
0,,X,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,,X
1,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,,X,,,,X,,X,,X,,,,,X,,,,X,
0,X,,,,,,,,,X,,,,X,X,,,,X,,,,,X,,,,X
0,,,,X,,,,,,X,,X,,,X,,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X
1,,,,,,,,X,,,,,,X,,,X,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,
0,X,,,,,,,,X,,,,,X,,X,,,X,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,,X,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
1,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,X,
0,X,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,,X,,,,X,X,,,X,,,,,,X,,,,X
1,,,,,,,,X,,,,,,X,,,X,X,,,,,,X,,,X,
1,,,,,,,,,,X,,,,X,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,,,X,,,,X,,,X,
1,,,,,,,,X,,,,,,X,X,,,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
0,X,,,,,,,,,X,,X,,,X,,,,X,,,,,X,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,
0,,X,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,X,,,X,,,,,,X,,,,X
1,,,,,,,,X,,,,,,X,X,,,X,,,,,X,,,,X,
1,,,,,,,,,,X,,X,,,X,,,,X,,,,X,,,,X,
1,,,,,,,,X,,,,X,,,,X,,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,
0,,,X,,,,,,,X,,X,,,X,,,,X,,,,,X,,,X,
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
1,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,,X
1,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X
0,X,,,,,,,,X,,,,X,,X,,,,X,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
0,X,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,,X
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,
1,,,,,,,,,X,,,X,,,,,X,,X,,,,,X,,,X,
